Total,Has a computer,Has a computer With dial-up Internet subscription alone,Has a computer With a broadband Internet subscription,Has a computer Without an Internet subscription,Total No computer,id,Geographic Area Name
57504,54724,96,51760,2868,2780,18081,"Johnson County, Indiana"
30798,28537,149,24992,3396,2261,18085,"Kosciusko County, Indiana"
186769,165964,334,153757,11873,20805,18089,"Lake County, Indiana"
43122,39774,110,35007,4657,3348,18091,"LaPorte County, Indiana"
50426,44764,118,40288,4358,5662,18095,"Madison County, Indiana"
373634,332773,321,299158,33294,40861,18097,"Marion County, Indiana"
57102,53973,0,50066,3907,3129,18105,"Monroe County, Indiana"
25968,23482,121,22078,1283,2486,18109,"Morgan County, Indiana"
66144,60782,143,56610,4029,5362,18127,"Porter County, Indiana"
107730,97565,475,85889,11201,10165,18141,"St. Joseph County, Indiana"
70446,67482,56,60720,6706,2964,18157,"Tippecanoe County, Indiana"
75058,67730,137,61967,5626,7328,18163,"Vanderburgh County, Indiana"
43262,41034,30,37725,3279,2228,18167,"Vigo County, Indiana"
28338,25039,107,21645,3287,3299,18177,"Wayne County, Indiana"
53386,48181,173,44592,3416,5205,19013,"Black Hawk County, Iowa"
35492,34166,0,32164,2002,1326,19049,"Dallas County, Iowa"
38501,34154,152,31657,2345,4347,19061,"Dubuque County, Iowa"
60868,58899,43,54824,4032,1969,19103,"Johnson County, Iowa"
91747,84734,341,79565,4828,7013,19113,"Linn County, Iowa"
189546,177807,428,164401,12978,11739,19153,"Polk County, Iowa"
36635,32694,12,29047,3635,3941,19155,"Pottawattamie County, Iowa"
66905,60918,88,57177,3653,5987,19163,"Scott County, Iowa"
37290,35715,143,28916,6656,1575,19169,"Story County, Iowa"
39253,35283,124,32408,2751,3970,19193,"Woodbury County, Iowa"
24692,22459,46,21124,1289,2233,20015,"Butler County, Kansas"
48907,46947,210,43203,3534,1960,20045,"Douglas County, Kansas"
231184,222865,489,214295,8081,8319,20091,"Johnson County, Kansas"
26654,24444,0,22716,1728,2210,20103,"Leavenworth County, Kansas"
26617,25963,0,23679,2284,654,20161,"Riley County, Kansas"
198024,184013,545,167272,16196,14011,20173,"Sedgwick County, Kansas"
72788,64970,284,51553,13133,7818,20177,"Shawnee County, Kansas"
60708,55301,105,48943,6253,5407,20209,"Wyandotte County, Kansas"
47684,46036,208,43198,2630,1648,21015,"Boone County, Kentucky"
29789,27680,98,25236,2346,2109,21029,"Bullitt County, Kentucky"
36992,33549,1040,29348,3161,3443,21037,"Campbell County, Kentucky"
26114,23151,121,20888,2142,2963,21047,"Christian County, Kentucky"
39590,35482,72,33457,1953,4108,21059,"Daviess County, Kentucky"
131067,125508,177,118325,7006,5559,21067,"Fayette County, Kentucky"
41625,37683,81,31254,6348,3942,21093,"Hardin County, Kentucky"
311263,281390,538,266088,14764,29873,21111,"Jefferson County, Kentucky"
64611,60015,180,57573,2262,4596,21117,"Kenton County, Kentucky"
27650,25320,0,23527,1793,2330,21145,"McCracken County, Kentucky"
33396,30450,290,28027,2133,2946,21151,"Madison County, Kentucky"
21237,20492,96,19826,570,745,21185,"Oldham County, Kentucky"
48843,45523,0,42110,3413,3320,21227,"Warren County, Kentucky"
45102,41978,140,40028,1810,3124,22005,"Ascension Parish, Louisiana"
50099,45158,66,29813,15279,4941,22015,"Bossier Parish, Louisiana"
94778,82577,205,62586,19786,12201,22017,"Caddo Parish, Louisiana"
78351,68280,61,60157,8062,10071,22019,"Calcasieu Parish, Louisiana"
163274,149950,216,139436,10298,13324,22033,"East Baton Rouge Parish, Louisiana"
