"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"705388","*****","0500000US25021","Norfolk County, Massachusetts"
"518132","*****","0500000US25023","Plymouth County, Massachusetts"
"807252","*****","0500000US25025","Suffolk County, Massachusetts"
"830839","*****","0500000US25027","Worcester County, Massachusetts"
"117327","*****","0500000US26005","Allegan County, Michigan"
"103923","*****","0500000US26017","Bay County, Michigan"
"154141","*****","0500000US26021","Berrien County, Michigan"
"134487","*****","0500000US26025","Calhoun County, Michigan"
"79332","*****","0500000US26037","Clinton County, Michigan"
"109826","*****","0500000US26045","Eaton County, Michigan"
"406892","*****","0500000US26049","Genesee County, Michigan"
"92573","*****","0500000US26055","Grand Traverse County, Michigan"
"292735","*****","0500000US26065","Ingham County, Michigan"
"70562","*****","0500000US26073","Isabella County, Michigan"
"158823","*****","0500000US26075","Jackson County, Michigan"
"264870","*****","0500000US26077","Kalamazoo County, Michigan"
"653786","*****","0500000US26081","Kent County, Michigan"
"88028","*****","0500000US26087","Lapeer County, Michigan"
"98266","*****","0500000US26091","Lenawee County, Michigan"
"191224","*****","0500000US26093","Livingston County, Michigan"
"874759","*****","0500000US26099","Macomb County, Michigan"
"66516","*****","0500000US26103","Marquette County, Michigan"
"83209","*****","0500000US26111","Midland County, Michigan"
"150439","*****","0500000US26115","Monroe County, Michigan"
"173588","*****","0500000US26121","Muskegon County, Michigan"
"1259201","*****","0500000US26125","Oakland County, Michigan"
"290494","*****","0500000US26139","Ottawa County, Michigan"
"190800","*****","0500000US26145","Saginaw County, Michigan"
"159337","*****","0500000US26147","St. Clair County, Michigan"
"68192","*****","0500000US26155","Shiawassee County, Michigan"
"75448","*****","0500000US26159","Van Buren County, Michigan"
"370963","*****","0500000US26161","Washtenaw County, Michigan"
"1753893","*****","0500000US26163","Wayne County, Michigan"
"353813","*****","0500000US27003","Anoka County, Minnesota"
"67427","*****","0500000US27013","Blue Earth County, Minnesota"
"103551","*****","0500000US27019","Carver County, Minnesota"
"425423","*****","0500000US27037","Dakota County, Minnesota"
"1259428","*****","0500000US27053","Hennepin County, Minnesota"
"156277","*****","0500000US27109","Olmsted County, Minnesota"
"550210","*****","0500000US27123","Ramsey County, Minnesota"
"66523","*****","0500000US27131","Rice County, Minnesota"
"199754","*****","0500000US27137","St. Louis County, Minnesota"
"147381","*****","0500000US27139","Scott County, Minnesota"
"96036","*****","0500000US27141","Sherburne County, Minnesota"
"159256","*****","0500000US27145","Stearns County, Minnesota"
"259201","*****","0500000US27163","Washington County, Minnesota"
"136349","*****","0500000US27171","Wright County, Minnesota"
"182001","*****","0500000US28033","DeSoto County, Mississippi"
"75036","*****","0500000US28035","Forrest County, Mississippi"
"206650","*****","0500000US28047","Harrison County, Mississippi"
"237085","*****","0500000US28049","Hinds County, Mississippi"
"143277","*****","0500000US28059","Jackson County, Mississippi"
"68461","*****","0500000US28067","Jones County, Mississippi"
"75317","*****","0500000US28075","Lauderdale County, Mississippi"
"85202","*****","0500000US28081","Lee County, Mississippi"
"105630","*****","0500000US28089","Madison County, Mississippi"
"153902","*****","0500000US28121","Rankin County, Mississippi"
"180005","*****","0500000US29019","Boone County, Missouri"
"88571","*****","0500000US29021","Buchanan County, Missouri"
"78753","*****","0500000US29031","Cape Girardeau County, Missouri"
"104954","*****","0500000US29037","Cass County, Missouri"
"86983","*****","0500000US29043","Christian County, Missouri"
"246365","*****","0500000US29047","Clay County, Missouri"
"76796","*****","0500000US29051","Cole County, Missouri"
"103670","*****","0500000US29071","Franklin County, Missouri"
"291923","*****","0500000US29077","Greene County, Missouri"
"700307","*****","0500000US29095","Jackson County, Missouri"
"120636","*****","0500000US29097","Jasper County, Missouri"
"224347","*****","0500000US29099","Jefferson County, Missouri"
"102985","*****","0500000US29165","Platte County, Missouri"
"399182","*****","0500000US29183","St. Charles County, Missouri"
"66692","*****","0500000US29187","St. Francois County, Missouri"
"996945","*****","0500000US29189","St. Louis County, Missouri"
"302838","*****","0500000US29510","St. Louis city, Missouri"
"81643","*****","0500000US30013","Cascade County, Montana"
"102106","*****","0500000US30029","Flathead County, Montana"
"111876","*****","0500000US30031","Gallatin County, Montana"
"68700","*****","0500000US30049","Lewis and Clark County, Montana"
"118791","*****","0500000US30063","Missoula County, Montana"
"160137","*****","0500000US30111","Yellowstone County, Montana"
"566880","*****","0500000US31055","Douglas County, Nebraska"
"317272","*****","0500000US31109","Lancaster County, Nebraska"
"184459","*****","0500000US31153","Sarpy County, Nebraska"
"2231647","*****","0500000US32003","Clark County, Nevada"
"465735","*****","0500000US32031","Washoe County, Nevada"
"76493","*****","0500000US33005","Cheshire County, New Hampshire"
"89786","*****","0500000US33009","Grafton County, New Hampshire"
"415247","*****","0500000US33011","Hillsborough County, New Hampshire"
"151132","*****","0500000US33013","Merrimack County, New Hampshire"
"309176","*****","0500000US33015","Rockingham County, New Hampshire"
"130090","*****","0500000US33017","Strafford County, New Hampshire"
"265429","*****","0500000US34001","Atlantic County, New Jersey"
"936692","*****","0500000US34003","Bergen County, New Jersey"
"445384","*****","0500000US34005","Burlington County, New Jersey"
"507078","*****","0500000US34007","Camden County, New Jersey"
"92560","*****","0500000US34009","Cape May County, New Jersey"
"150972","*****","0500000US34011","Cumberland County, New Jersey"
"799767","*****","0500000US34013","Essex County, New Jersey"
"291408","*****","0500000US34015","Gloucester County, New Jersey"
"676061","*****","0500000US34017","Hudson County, New Jersey"
"124714","*****","0500000US34019","Hunterdon County, New Jersey"
"369811","*****","0500000US34021","Mercer County, New Jersey"
"829685","*****","0500000US34023","Middlesex County, New Jersey"
"621354","*****","0500000US34025","Monmouth County, New Jersey"
"494228","*****","0500000US34027","Morris County, New Jersey"
"601651","*****","0500000US34029","Ocean County, New Jersey"
"503310","*****","0500000US34031","Passaic County, New Jersey"
"62607","*****","0500000US34033","Salem County, New Jersey"
"331164","*****","0500000US34035","Somerset County, New Jersey"
"140799","*****","0500000US34037","Sussex County, New Jersey"
"558067","*****","0500000US34039","Union County, New Jersey"
"105779","*****","0500000US34041","Warren County, New Jersey"
