Total,One or more types of computing devices,Desktop/laptop,Only Desktop/laptop,Smartphone,Only Smartphone,Tablet/portable,Only Tablet/portable,Other computing device,Only other,No computer,id,Geographic Area Name
26654,24444,20173,1045,22651,2228,17509,53,614,0,2210,20103,"Leavenworth County, Kansas"
26617,25963,23439,992,24287,871,18446,406,1103,0,654,20161,"Riley County, Kansas"
198024,184013,149608,7337,170906,22634,119378,1646,4748,39,14011,20173,"Sedgwick County, Kansas"
72788,64970,52897,3101,58883,7355,39138,988,1346,0,7818,20177,"Shawnee County, Kansas"
60708,55301,38679,2797,50541,10988,32014,874,770,0,5407,20209,"Wyandotte County, Kansas"
47684,46036,40431,1880,42885,3043,35462,381,1659,0,1648,21015,"Boone County, Kentucky"
29789,27680,23035,1700,24786,1900,19176,259,311,0,2109,21029,"Bullitt County, Kentucky"
36992,33549,29083,1399,30738,2479,23845,258,3304,0,3443,21037,"Campbell County, Kentucky"
26114,23151,17570,709,21449,3619,14084,301,484,0,2963,21047,"Christian County, Kentucky"
39590,35482,27577,1628,32248,4985,23804,504,1011,0,4108,21059,"Daviess County, Kentucky"
131067,125508,105794,4184,117221,10398,87779,1384,5759,48,5559,21067,"Fayette County, Kentucky"
41625,37683,29190,1986,34233,4223,25642,800,1236,0,3942,21093,"Hardin County, Kentucky"
311263,281390,231253,12267,259965,31894,185048,3520,6107,0,29873,21111,"Jefferson County, Kentucky"
64611,60015,51792,2350,55230,4354,44137,591,2173,0,4596,21117,"Kenton County, Kentucky"
27650,25320,20543,1091,23327,3137,16155,354,408,0,2330,21145,"McCracken County, Kentucky"
33396,30450,26530,1423,27529,1983,22248,398,1004,0,2946,21151,"Madison County, Kentucky"
21237,20492,18294,461,19427,1439,16221,88,797,46,745,21185,"Oldham County, Kentucky"
48843,45523,38203,2215,41673,4197,32131,342,1451,0,3320,21227,"Warren County, Kentucky"
45102,41978,33616,1169,39933,3406,32608,184,2439,0,3124,22005,"Ascension Parish, Louisiana"
50099,45158,36303,1495,42856,6984,20669,215,1017,0,4941,22015,"Bossier Parish, Louisiana"
94778,82577,58598,4163,75760,17936,40192,1046,1586,0,12201,22017,"Caddo Parish, Louisiana"
78351,68280,53035,2382,63333,10191,41543,1348,635,0,10071,22019,"Calcasieu Parish, Louisiana"
163274,149950,120500,4349,142629,20834,95253,1153,4167,62,13324,22033,"East Baton Rouge Parish, Louisiana"
25386,21667,15983,851,20003,3619,12915,278,320,0,3719,22045,"Iberia Parish, Louisiana"
167596,148758,117802,7118,137521,20142,92729,1432,6214,46,18838,22051,"Jefferson Parish, Louisiana"
94002,87650,69708,2224,83046,11943,57147,680,1333,0,6352,22055,"Lafayette Parish, Louisiana"
35838,31235,23496,1037,29190,4464,21917,154,206,0,4603,22057,"Lafourche Parish, Louisiana"
49084,46591,37383,1277,43901,3966,32537,292,642,0,2493,22063,"Livingston Parish, Louisiana"
155104,136292,102675,4976,125574,24618,77784,1700,6239,0,18812,22071,"Orleans Parish, Louisiana"
