Total,One or more types of computing devices,Desktop/laptop,Only Desktop/laptop,Smartphone,Only Smartphone,Tablet/portable,Only Tablet/portable,Other computing device,Only other,No computer,>10K,> $10k With Internet subscription ,> $10k!!Without an Internet subscription,Total!!$10k to $19.9k,$10k to $19.9k!!With Internet subscription ,$10k to  $19.9k!!Without an Internet subscription,"$20,000 to $34,999",$20k to $34.9k!!With Internet subscription,$20k to $34.9k!!Without an Internet subscription,"$35,000 to $49,999",$35k to $49.9k!!With Internet subscription,$35k to $49.9k!!Without an Internet subscription,$50k to $74.9k,"$50k to $74,999!!With Internet subscription",$50k to $74..9k!!Without an Internet subscription,>$75k ,>$75k!!With Internet subscription ,">$75,000!!Without an Internet subscription",id,Geographic Area Name
231917,217678,171939,6445,204624,21890,156850,2001,4789,32,14239,10934,6647,4287,20334,13050,7284,30953,22972,7981,27838,23266,4572,41781,36830,4951,100077,95228,4849,6077,"San Joaquin County, California"
106198,99874,88815,4543,91849,7642,66627,826,2478,67,6324,6829,5401,1428,6105,4951,1154,11240,9121,2119,11689,9774,1915,19442,17024,2418,50893,48293,2600,6079,"San Luis Obispo County, California"
259654,250464,232961,7274,237815,11101,199430,988,10734,198,9190,8435,6553,1882,12076,8479,3597,16512,12739,3773,13735,12310,1425,26556,24166,2390,182340,176159,6181,6081,"San Mateo County, California"
146224,138374,121189,5732,128538,9852,100514,769,3200,22,7850,7190,5539,1651,8719,4721,3998,16589,14566,2023,14556,13127,1429,23857,22121,1736,75313,72333,2980,6083,"Santa Barbara County, California"
645108,623546,579756,16692,593499,24176,492916,3934,25822,234,21562,20362,16335,4027,28333,18914,9419,41393,34135,7258,40254,35890,4364,68824,63464,5360,445942,435541,10401,6085,"Santa Clara County, California"
94994,89378,81041,4059,82515,4042,63825,1190,2813,42,5616,5046,3176,1870,5956,3725,2231,9420,6884,2536,8968,7817,1151,12895,11448,1447,52709,51040,1669,6087,"Santa Cruz County, California"
68198,63143,51914,3822,56416,5422,41536,742,1485,0,5055,5001,3475,1526,6820,4982,1838,9335,6809,2526,9535,7986,1549,12403,11779,624,25104,24069,1035,6089,"Shasta County, California"
152291,145529,127734,5073,137107,11790,92083,808,3698,55,6762,6082,4722,1360,7176,5251,1925,10755,9418,1337,15821,14224,1597,26591,25279,1312,85866,83260,2606,6095,"Solano County, California"
187434,179720,160906,10106,163001,9084,129905,2419,4406,0,7714,7467,5609,1858,11699,9029,2670,18615,15708,2907,19491,17775,1716,29303,27226,2077,100859,98993,1866,6097,"Sonoma County, California"
175171,162869,129143,6099,151663,19504,108609,1877,4563,149,12302,9012,5778,3234,17112,10756,6356,24171,19335,4836,22344,19276,3068,34011,31519,2492,68521,66119,2402,6099,"Stanislaus County, California"
31989,29191,24057,1019,26972,3403,19455,170,1051,0,2798,1731,1040,691,2366,1578,788,4932,3942,990,4336,3184,1152,6032,5656,376,12592,11915,677,6101,"Sutter County, California"
139197,122672,84751,4040,115080,25906,70445,1106,2205,0,16525,11462,7336,4126,16463,9733,6730,23485,16228,7257,19519,15093,4426,23799,21123,2676,44469,41493,2976,6107,"Tulare County, California"
271980,254813,226920,10441,237189,13438,192006,2043,33857,0,17167,9811,7675,2136,14796,9475,5321,25985,19943,6042,29478,25208,4270,38372,35585,2787,153538,146010,7528,6111,"Ventura County, California"
74428,70734,62928,3129,66219,4003,49973,455,1979,0,3694,5961,5057,904,5258,4071,1187,10256,7798,2458,7439,6241,1198,11230,10451,779,34284,33871,413,6113,"Yolo County, California"
26191,22746,18045,1157,20364,3228,13687,388,519,0,3445,1265,618,647,3288,1658,1630,4118,3100,1018,4933,2816,2117,3529,2886,643,9058,8799,259,6115,"Yuba County, California"
168361,158905,133894,6979,148482,15174,109532,1242,3807,142,9456,6769,4692,2077,8772,5818,2954,18551,15317,3234,22655,18971,3684,33935,29740,4195,77679,73623,4056,8001,"Adams County, Colorado"
242141,232126,206476,8609,216878,16495,164450,1727,5592,0,10015,10219,7879,2340,12729,8363,4366,25365,22075,3290,30320,27597,2723,39118,36621,2497,124390,120809,3581,8005,"Arapahoe County, Colorado"
128295,123421,115072,5359,115226,4566,90900,708,3383,53,4874,8950,7825,1125,6988,5269,1719,12449,9979,2470,11498,10030,1468,18190,17184,1006,70220,67948,2272,8013,"Boulder County, Colorado"
28530,27966,26071,331,27395,1124,22477,0,761,0,564,530,462,68,796,730,66,2133,2004,129,3104,2180,924,5344,5034,310,16623,16157,466,8014,"Broomfield County, Colorado"
310324,294918,262698,9412,279229,21390,200052,1339,7471,104,15406,18752,13302,5450,22693,15635,7058,37352,30600,6752,33907,28946,4961,55438,49987,5451,142182,137800,4382,8031,"Denver County, Colorado"
125035,122857,118472,2568,117729,1996,103263,541,3802,78,2178,1697,1519,178,2892,2449,443,6832,6299,533,7179,6537,642,15648,14857,791,90787,89306,1481,8035,"Douglas County, Colorado"
260851,247781,223251,9006,232495,16592,179897,1232,6601,114,13070,12290,9282,3008,15888,11859,4029,33930,28130,5800,31272,28826,2446,49491,47752,1739,117980,115181,2799,8041,"El Paso County, Colorado"
233272,219964,200737,9050,203333,10773,155436,1732,5416,161,13308,8397,6123,2274,12499,8054,4445,19964,15806,4158,24003,21949,2054,37177,33139,4038,131232,128605,2627,8059,"Jefferson County, Colorado"
139382,133801,123300,4207,125987,4773,100739,1184,4260,0,5581,6536,5041,1495,8047,5694,2353,15762,12917,2845,15892,14153,1739,27268,25005,2263,65877,63803,2074,8069,"Larimer County, Colorado"
61848,56995,48177,3380,50481,5663,37166,654,1149,0,4853,4358,3224,1134,7380,4098,3282,8652,7155,1497,10634,8960,1674,9445,8911,534,21379,20324,1055,8077,"Mesa County, Colorado"
64954,57916,45062,3797,51103,8511,35820,833,1331,0,7038,6259,3680,2579,7861,4350,3511,10582,7785,2797,8793,7123,1670,12443,10483,1960,19016,18243,773,8101,"Pueblo County, Colorado"
107929,102751,89105,3713,95876,8123,75394,1020,2397,0,5178,4646,3206,1440,6666,4773,1893,11396,9522,1874,11786,10033,1753,18333,16488,1845,55102,53334,1768,8123,"Weld County, Colorado"
345634,325221,288112,12419,300928,20366,243502,3420,10799,0,20413,18769,12690,6079,19619,12939,6680,32681,25635,7046,31092,27209,3883,45840,42478,3362,197633,192851,4782,9001,"Fairfield County, Connecticut"
348049,320183,271553,14596,293271,28441,226637,3531,7682,80,27866,19701,11094,8607,27363,18204,9159,41785,30130,11655,35541,28343,7198,52604,47476,5128,171055,164961,6094,9003,"Hartford County, Connecticut"
73598,67520,59851,5055,59092,3768,46620,1039,1815,0,6078,2494,1825,669,4760,2636,2124,10024,7211,2813,6745,5792,953,12339,10458,1881,37236,35560,1676,9005,"Litchfield County, Connecticut"
66983,62516,55933,3337,57216,3274,42018,567,1444,0,4467,2375,1125,1250,3386,2395,991,6980,5468,1512,6235,5078,1157,9848,8801,1047,38159,36568,1591,9007,"Middlesex County, Connecticut"
335539,303843,255655,15330,275425,30239,201689,4323,6438,75,31696,19516,11838,7678,29491,17304,12187,39939,28299,11640,38000,30409,7591,55156,48777,6379,153437,146354,7083,9009,"New Haven County, Connecticut"
108098,100040,87133,6654,88821,8041,67209,1022,2792,9,8058,4887,3495,1392,8826,4881,3945,11307,8843,2464,11751,9992,1759,21569,20144,1425,49758,48527,1231,9011,"New London County, Connecticut"
55619,52027,47593,2906,46924,2091,36999,544,1548,0,3592,2407,1482,925,3460,2222,1238,4425,3570,855,4309,3659,650,6933,5731,1202,34085,32343,1742,9013,"Tolland County, Connecticut"
44571,40500,34171,1932,36138,2660,28925,730,507,0,4071,3043,2317,726,3638,2271,1367,4449,2936,1513,4972,4039,933,9629,8731,898,18840,17474,1366,9015,"Windham County, Connecticut"
67841,60595,49129,3022,55219,6238,40853,711,1587,0,7246,4298,3334,964,5869,4096,1773,11927,9062,2865,8829,7028,1801,13025,12267,758,23893,22578,1315,10001,"Kent County, Delaware"
206351,196008,154555,8261,181305,22111,127006,2197,4796,0,10343,13654,10366,3288,12118,10166,1952,27233,22531,4702,21849,19650,2199,34829,32268,2561,96668,93919,2749,10003,"New Castle County, Delaware"
93479,84814,71736,5935,75321,7244,57326,815,2648,6,8665,4088,2351,1737,8735,5722,3013,13621,10295,3326,11690,9034,2656,19186,17465,1721,36159,33547,2612,10005,"Sussex County, Delaware"
287476,266613,230574,6223,253586,23099,186192,2664,7322,0,20863,26780,16276,10504,20957,12686,8271,24937,18865,6072,22441,17920,4521,35032,31465,3567,157329,150532,6797,11001,"District of Columbia, District of Columbia"
97782,93407,84307,2718,87999,5777,60006,1047,2285,0,4375,12125,8545,3580,9834,7510,2324,13759,10677,3082,11490,9679,1811,16590,15358,1232,33984,33216,768,12001,"Alachua County, Florida"
73856,68037,59104,3584,61328,5085,48067,474,1823,62,5819,3966,2785,1181,6951,4566,2385,9222,7437,1785,14797,13125,1672,15007,13820,1187,23913,23008,905,12005,"Bay County, Florida"
226363,209537,191261,13728,189435,11216,146681,1720,4490,0,16826,11963,8939,3024,21678,15004,6674,32943,26979,5964,30565,28533,2032,41975,38140,3835,87239,84374,2865,12009,"Brevard County, Florida"
694980,655599,568484,22383,616532,54284,446641,4777,27568,224,39381,46782,33289,13493,61252,44875,16377,98276,78108,20168,96196,83214,12982,123802,112100,11702,268672,251326,17346,12011,"Broward County, Florida"
74975,67947,59858,4480,59679,4302,46822,531,1664,84,7028,3927,2439,1488,8153,5173,2980,10452,8530,1922,12323,10637,1686,17180,15849,1331,22940,22169,771,12015,"Charlotte County, Florida"
62293,57105,48393,7108,46134,4682,35198,1189,1125,0,5188,5691,3600,2091,8445,5349,3096,12934,10639,2295,11595,9965,1630,11902,10831,1071,11726,11118,608,12017,"Citrus County, Florida"
75958,73268,64658,3448,67508,6176,52465,393,1877,93,2690,3111,2729,382,4976,3658,1318,11827,11020,807,9455,8281,1174,16034,15252,782,30555,29529,1026,12019,"Clay County, Florida"
144172,134294,116323,7996,119594,9845,91723,1561,5560,71,9878,4722,2760,1962,10388,7158,3230,18336,14722,3614,18887,16096,2791,24528,21788,2740,67311,62815,4496,12021,"Collier County, Florida"
25678,24000,18876,1435,21567,3215,15912,573,499,0,1678,1665,978,687,3166,1974,1192,4276,2945,1331,4130,3545,585,4611,3861,750,7830,7270,560,12023,"Columbia County, Florida"
367238,342926,282083,14725,319945,46170,208979,1711,20642,76,24312,23112,17118,5994,34215,23998,10217,54681,45416,9265,51636,45099,6537,73307,68137,5170,130287,124017,6270,12031,"Duval County, Florida"
118820,109334,95368,5983,99780,8304,70700,935,1934,0,9486,8011,5400,2611,8770,5871,2899,20644,15185,5459,20736,16060,4676,22392,20280,2112,38267,36758,1509,12033,"Escambia County, Florida"
41274,36375,31301,3168,31611,2369,24414,376,1190,0,4899,2385,1436,949,3706,2000,1706,5263,3171,2092,5014,3761,1253,8600,7212,1388,16306,13746,2560,12035,"Flagler County, Florida"
76163,71041,64337,6479,60706,3822,49317,711,3557,38,5122,6322,4388,1934,8574,6039,2535,14502,12247,2255,11127,9709,1418,16004,15125,879,19634,18968,666,12053,"Hernando County, Florida"
