id,total (total_pop),total (int_access),total (income),perc_int_access,perc_income
39153,541918,226243,135033,41.7486,24.9176
39155,198627,83303,51155,41.9394,25.7543
39157,92176,36740,23757,39.8585,25.7735
39165,232173,83540,64821,35.9818,27.9193
39169,115967,43908,29166,37.8625,25.1503
39173,130696,50694,30674,38.7877,23.4697
40017,144447,45344,33681,31.3914,23.3172
40027,281669,110775,74314,39.3281,26.3834
40031,120422,42489,28582,35.2834,23.7349
40037,71604,26957,19555,37.6473,27.3099
40101,68362,26566,18393,38.8608,26.9053
40109,792582,302645,186085,38.1847,23.4783
40119,82040,30734,16198,37.4622,19.744
40125,72679,26714,18842,36.7561,25.925
40131,91984,35254,26043,38.3262,28.3125
29071,103670,40387,27834,38.9573,26.8487
29077,291923,128691,72929,44.0839,24.9823
29095,700307,288752,170337,41.2322,24.3232
29097,120636,47846,31070,39.6615,25.7552
29099,224347,85892,60625,38.2853,27.0229
29165,102985,40086,26487,38.9241,25.7193
29183,399182,149951,104615,37.5646,26.2073
29187,66692,25670,16935,38.4904,25.3929
29189,996945,408117,261684,40.9368,26.2486
29510,302838,144295,63899,47.6476,21.1001
30013,81643,35558,22216,43.553,27.2112
30029,102106,38372,24783,37.5806,24.2718
30031,111876,44423,25853,39.7074,23.1086
30049,68700,27842,16679,40.5269,24.278
30063,118791,50401,30045,42.4283,25.2923
13095,91243,33717,19901,36.953,21.811
13097,145331,49534,35995,34.0836,24.7676
13113,113459,39366,30120,34.6962,26.547
13115,97927,34672,24361,35.406,24.8767
13117,236612,81353,65991,34.3825,27.89
13121,1050114,417157,230448,39.7249,21.945
17001,65691,26397,17655,40.1836,26.8758
17019,209983,84290,42528,40.1413,20.2531
17031,5180493,1981796,1181463,38.255,22.806
17037,104143,38849,21298,37.3035,20.4507
17043,928589,345714,244235,37.23,26.3017
17089,534216,183633,136596,34.3743,25.5694
17091,110024,40642,26634,36.9392,24.2074
17093,127915,40716,32362,31.8305,25.2996
17097,700832,246620,178902,35.1896,25.5271
17099,109430,44714,28804,40.8608,26.3218
17111,308570,114544,87366,37.1209,28.3132
17113,172828,65998,39649,38.1871,22.9413
17115,104712,44562,27761,42.5567,26.5118
