index,total_pop,id,Geographic Area Name
497,166614,37057,"Davidson County, North Carolina"
498,316739,37063,"Durham County, North Carolina"
499,379099,37067,"Forsyth County, North Carolina"
500,67560,37069,"Franklin County, North Carolina"
501,222846,37071,"Gaston County, North Carolina"
502,533670,37081,"Guilford County, North Carolina"
503,134214,37085,"Harnett County, North Carolina"
504,116748,37089,"Henderson County, North Carolina"
505,178435,37097,"Iredell County, North Carolina"
506,202675,37101,"Johnston County, North Carolina"
507,83770,37109,"Lincoln County, North Carolina"
508,1093901,37119,"Mecklenburg County, North Carolina"
509,98682,37125,"Moore County, North Carolina"
510,94016,37127,"Nash County, North Carolina"
511,232274,37129,"New Hanover County, North Carolina"
512,197683,37133,"Onslow County, North Carolina"
513,146027,37135,"Orange County, North Carolina"
514,179914,37147,"Pitt County, North Carolina"
515,143351,37151,"Randolph County, North Carolina"
516,131831,37155,"Robeson County, North Carolina"
517,90690,37157,"Rockingham County, North Carolina"
518,141262,37159,"Rowan County, North Carolina"
519,66826,37161,"Rutherford County, North Carolina"
520,71948,37171,"Surry County, North Carolina"
521,235908,37179,"Union County, North Carolina"
522,1092305,37183,"Wake County, North Carolina"
523,123248,37191,"Wayne County, North Carolina"
524,68557,37193,"Wilkes County, North Carolina"
525,81455,37195,"Wilson County, North Carolina"
526,95273,38015,"Burleigh County, North Dakota"
527,181516,38017,"Cass County, North Dakota"
528,70770,38035,"Grand Forks County, North Dakota"
529,67744,38101,"Ward County, North Dakota"
530,102663,39003,"Allen County, Ohio"
531,97493,39007,"Ashtabula County, Ohio"
532,65818,39009,"Athens County, Ohio"
533,67505,39013,"Belmont County, Ohio"
534,382378,39017,"Butler County, Ohio"
535,134585,39023,"Clark County, Ohio"
536,205466,39025,"Clermont County, Ohio"
537,102665,39029,"Columbiana County, Ohio"
538,1243857,39035,"Cuyahoga County, Ohio"
539,204826,39041,"Delaware County, Ohio"
540,74615,39043,"Erie County, Ohio"
541,155782,39045,"Fairfield County, Ohio"
542,1310300,39049,"Franklin County, Ohio"
543,94031,39055,"Geauga County, Ohio"
544,167995,39057,"Greene County, Ohio"
545,816684,39061,"Hamilton County, Ohio"
546,75930,39063,"Hancock County, Ohio"
547,65767,39081,"Jefferson County, Ohio"
548,230514,39085,"Lake County, Ohio"
549,175769,39089,"Licking County, Ohio"
550,309461,39093,"Lorain County, Ohio"
551,429899,39095,"Lucas County, Ohio"
552,229642,39099,"Mahoning County, Ohio"
553,65256,39101,"Marion County, Ohio"
554,179146,39103,"Medina County, Ohio"
555,106222,39109,"Miami County, Ohio"
556,532331,39113,"Montgomery County, Ohio"
557,86183,39119,"Muskingum County, Ohio"
558,162927,39133,"Portage County, Ohio"
559,121099,39139,"Richland County, Ohio"
560,76931,39141,"Ross County, Ohio"
561,75502,39145,"Scioto County, Ohio"
562,371574,39151,"Stark County, Ohio"
563,541918,39153,"Summit County, Ohio"
564,198627,39155,"Trumbull County, Ohio"
565,92176,39157,"Tuscarawas County, Ohio"
566,232173,39165,"Warren County, Ohio"
567,115967,39169,"Wayne County, Ohio"
568,130696,39173,"Wood County, Ohio"
569,144447,40017,"Canadian County, Oklahoma"
570,281669,40027,"Cleveland County, Oklahoma"
571,120422,40031,"Comanche County, Oklahoma"
572,71604,40037,"Creek County, Oklahoma"
573,68362,40101,"Muskogee County, Oklahoma"
574,792582,40109,"Oklahoma County, Oklahoma"
575,82040,40119,"Payne County, Oklahoma"
576,72679,40125,"Pottawatomie County, Oklahoma"
577,91984,40131,"Rogers County, Oklahoma"
578,648360,40143,"Tulsa County, Oklahoma"
579,80110,40145,"Wagoner County, Oklahoma"
580,92101,41003,"Benton County, Oregon"
581,416075,41005,"Clackamas County, Oregon"
582,191996,41017,"Deschutes County, Oregon"
583,110283,41019,"Douglas County, Oregon"
584,219564,41029,"Jackson County, Oregon"
585,87393,41033,"Josephine County, Oregon"
586,67653,41035,"Klamath County, Oregon"
587,379611,41039,"Lane County, Oregon"
588,127335,41043,"Linn County, Oregon"
