total,less_10000_total,less_10000_internet,less_10000_none,_10000_19900_total,_10000_19900_internet,_10000_19900_none,_20000_34999_total,_20000_34999_internet,_20000_34999_none,_35000_49999_total,_35000_49999_internet,_35000_49999_none,_50000_74900_total,_50000_74900_internet,_50000_74900_none,greater_75000_total,greater_75000_internet,greater_75000_none,id,geographic_area_name
139382,6536,5041,1495,8047,5694,2353,15762,12917,2845,15892,14153,1739,27268,25005,2263,65877,63803,2074,8069,"Larimer County, Colorado"
61848,4358,3224,1134,7380,4098,3282,8652,7155,1497,10634,8960,1674,9445,8911,534,21379,20324,1055,8077,"Mesa County, Colorado"
64954,6259,3680,2579,7861,4350,3511,10582,7785,2797,8793,7123,1670,12443,10483,1960,19016,18243,773,8101,"Pueblo County, Colorado"
345634,18769,12690,6079,19619,12939,6680,32681,25635,7046,31092,27209,3883,45840,42478,3362,197633,192851,4782,9001,"Fairfield County, Connecticut"
348049,19701,11094,8607,27363,18204,9159,41785,30130,11655,35541,28343,7198,52604,47476,5128,171055,164961,6094,9003,"Hartford County, Connecticut"
73598,2494,1825,669,4760,2636,2124,10024,7211,2813,6745,5792,953,12339,10458,1881,37236,35560,1676,9005,"Litchfield County, Connecticut"
66983,2375,1125,1250,3386,2395,991,6980,5468,1512,6235,5078,1157,9848,8801,1047,38159,36568,1591,9007,"Middlesex County, Connecticut"
335539,19516,11838,7678,29491,17304,12187,39939,28299,11640,38000,30409,7591,55156,48777,6379,153437,146354,7083,9009,"New Haven County, Connecticut"
108098,4887,3495,1392,8826,4881,3945,11307,8843,2464,11751,9992,1759,21569,20144,1425,49758,48527,1231,9011,"New London County, Connecticut"
55619,2407,1482,925,3460,2222,1238,4425,3570,855,4309,3659,650,6933,5731,1202,34085,32343,1742,9013,"Tolland County, Connecticut"
44571,3043,2317,726,3638,2271,1367,4449,2936,1513,4972,4039,933,9629,8731,898,18840,17474,1366,9015,"Windham County, Connecticut"
67841,4298,3334,964,5869,4096,1773,11927,9062,2865,8829,7028,1801,13025,12267,758,23893,22578,1315,10001,"Kent County, Delaware"
206351,13654,10366,3288,12118,10166,1952,27233,22531,4702,21849,19650,2199,34829,32268,2561,96668,93919,2749,10003,"New Castle County, Delaware"
93479,4088,2351,1737,8735,5722,3013,13621,10295,3326,11690,9034,2656,19186,17465,1721,36159,33547,2612,10005,"Sussex County, Delaware"
287476,26780,16276,10504,20957,12686,8271,24937,18865,6072,22441,17920,4521,35032,31465,3567,157329,150532,6797,11001,"District of Columbia, District of Columbia"
97782,12125,8545,3580,9834,7510,2324,13759,10677,3082,11490,9679,1811,16590,15358,1232,33984,33216,768,12001,"Alachua County, Florida"
73856,3966,2785,1181,6951,4566,2385,9222,7437,1785,14797,13125,1672,15007,13820,1187,23913,23008,905,12005,"Bay County, Florida"
226363,11963,8939,3024,21678,15004,6674,32943,26979,5964,30565,28533,2032,41975,38140,3835,87239,84374,2865,12009,"Brevard County, Florida"
694980,46782,33289,13493,61252,44875,16377,98276,78108,20168,96196,83214,12982,123802,112100,11702,268672,251326,17346,12011,"Broward County, Florida"
74975,3927,2439,1488,8153,5173,2980,10452,8530,1922,12323,10637,1686,17180,15849,1331,22940,22169,771,12015,"Charlotte County, Florida"
62293,5691,3600,2091,8445,5349,3096,12934,10639,2295,11595,9965,1630,11902,10831,1071,11726,11118,608,12017,"Citrus County, Florida"
75958,3111,2729,382,4976,3658,1318,11827,11020,807,9455,8281,1174,16034,15252,782,30555,29529,1026,12019,"Clay County, Florida"
144172,4722,2760,1962,10388,7158,3230,18336,14722,3614,18887,16096,2791,24528,21788,2740,67311,62815,4496,12021,"Collier County, Florida"
25678,1665,978,687,3166,1974,1192,4276,2945,1331,4130,3545,585,4611,3861,750,7830,7270,560,12023,"Columbia County, Florida"
367238,23112,17118,5994,34215,23998,10217,54681,45416,9265,51636,45099,6537,73307,68137,5170,130287,124017,6270,12031,"Duval County, Florida"
118820,8011,5400,2611,8770,5871,2899,20644,15185,5459,20736,16060,4676,22392,20280,2112,38267,36758,1509,12033,"Escambia County, Florida"
41274,2385,1436,949,3706,2000,1706,5263,3171,2092,5014,3761,1253,8600,7212,1388,16306,13746,2560,12035,"Flagler County, Florida"
76163,6322,4388,1934,8574,6039,2535,14502,12247,2255,11127,9709,1418,16004,15125,879,19634,18968,666,12053,"Hernando County, Florida"
40573,2459,1523,936,5366,3516,1850,10499,7098,3401,5326,4356,970,7958,7624,334,8965,7922,1043,12055,"Highlands County, Florida"
540142,32362,23153,9209,51380,36875,14505,78125,63850,14275,69288,61415,7873,94838,88380,6458,214149,207358,6791,12057,"Hillsborough County, Florida"
57636,2719,1362,1357,6411,3551,2860,9529,7224,2305,7048,5861,1187,9752,8551,1201,22177,21184,993,12061,"Indian River County, Florida"
136366,7741,6078,1663,12419,9027,3392,27165,22138,5027,18089,16504,1585,25080,23680,1400,45872,44502,1370,12069,"Lake County, Florida"
281222,17520,12673,4847,26013,16962,9051,41106,34011,7095,40002,35410,4592,54356,49941,4415,102225,97747,4478,12071,"Lee County, Florida"
113390,10736,7415,3321,13212,9432,3780,16185,14008,2177,15792,14642,1150,17133,15800,1333,40332,38736,1596,12073,"Leon County, Florida"
150814,6645,4871,1774,12054,9472,2582,22675,18197,4478,23329,19842,3487,26862,24247,2615,59249,55541,3708,12081,"Manatee County, Florida"
143441,11199,6987,4212,16971,12360,4611,27686,21450,6236,23199,18903,4296,25817,24037,1780,38569,36695,1874,12083,"Marion County, Florida"
63070,3418,2583,835,5222,4095,1127,10002,8644,1358,7472,6100,1372,10931,9638,1293,26025,24918,1107,12085,"Martin County, Florida"
895801,77063,41809,35254,93593,55683,37910,142261,103133,39128,114747,91447,23300,158503,133588,24915,309634,286754,22880,12086,"Miami-Dade County, Florida"
31362,1201,784,417,1814,1014,800,4052,2827,1225,4569,3971,598,4302,4073,229,15424,15128,296,12087,"Monroe County, Florida"
32624,2412,1514,898,2756,2157,599,3037,2635,402,4158,3717,441,6135,5939,196,14126,13284,842,12089,"Nassau County, Florida"
79570,4734,3407,1327,5886,3315,2571,12060,8984,3076,9240,8471,769,15115,14241,874,32535,31251,1284,12091,"Okaloosa County, Florida"
458157,29359,21053,8306,36668,25128,11540,69090,58183,10907,62337,54609,7728,83242,78240,5002,177461,170225,7236,12095,"Orange County, Florida"
102705,5864,4928,936,9466,6038,3428,16939,12640,4299,18608,15918,2690,19559,18029,1530,32269,30782,1487,12097,"Osceola County, Florida"
552286,34882,25949,8933,45687,33023,12664,75023,59388,15635,69056,61394,7662,97949,89543,8406,229689,217674,12015,12099,"Palm Beach County, Florida"
205128,10718,6761,3957,22588,13284,9304,31875,23555,8320,31042,26194,4848,38463,36113,2350,70442,66769,3673,12101,"Pasco County, Florida"
405892,25895,15288,10607,42299,28540,13759,67380,49828,17552,57000,50108,6892,70557,63902,6655,142761,134192,8569,12103,"Pinellas County, Florida"
241171,16643,9662,6981,23004,12526,10478,38091,23767,14324,38644,29637,9007,49340,36991,12349,75449,64623,10826,12105,"Polk County, Florida"
27927,1927,1340,587,4538,2569,1969,5906,5201,705,4313,3572,741,4982,4583,399,6261,5914,347,12107,"Putnam County, Florida"
90109,3609,2776,833,4594,3442,1152,11151,8614,2537,8478,6527,1951,14523,12537,1986,47754,45827,1927,12109,"St. Johns County, Florida"
118768,6688,4611,2077,12019,8268,3751,17752,15030,2722,19065,17994,1071,23162,22282,880,40082,38512,1570,12111,"St. Lucie County, Florida"
63891,2541,2100,441,2941,2583,358,6930,5454,1476,9186,7616,1570,12953,12127,826,29340,27921,1419,12113,"Santa Rosa County, Florida"
183721,9292,7326,1966,13945,9311,4634,26861,21506,5355,22209,19447,2762,37520,33916,3604,73894,69744,4150,12115,"Sarasota County, Florida"
179274,8607,6333,2274,11266,8253,3013,21407,16626,4781,20334,16660,3674,35745,33224,2521,81915,77830,4085,12117,"Seminole County, Florida"
62854,2374,1883,491,5947,3957,1990,10035,8830,1205,9139,8052,1087,13915,12715,1200,21444,21063,381,12119,"Sumter County, Florida"
218423,14945,8936,6009,19682,13360,6322,37719,28245,9474,35561,28478,7083,42572,37650,4922,67944,63323,4621,12127,"Volusia County, Florida"
28770,1673,793,880,1600,763,837,4438,3734,704,4324,3706,618,4601,4456,145,12134,12057,77,12131,"Walton County, Florida"
27525,1266,972,294,1514,1309,205,4176,3276,900,4090,3010,1080,4841,4523,318,11638,10972,666,13013,"Barrow County, Georgia"
35506,2687,1683,1004,2130,1296,834,6053,3706,2347,4911,3852,1059,6131,4998,1133,13594,12023,1571,13015,"Bartow County, Georgia"
57905,7917,4914,3003,7412,4092,3320,10952,8612,2340,7526,5948,1578,8454,7524,930,15644,14868,776,13021,"Bibb County, Georgia"
27097,2023,1234,789,3842,2297,1545,4864,3469,1395,4585,3705,880,4523,3977,546,7260,6905,355,13031,"Bulloch County, Georgia"
41197,3315,2338,977,3674,2499,1175,6973,4861,2112,6048,4717,1331,6669,6086,583,14518,13657,861,13045,"Carroll County, Georgia"
24722,810,743,67,1521,661,860,4557,3653,904,3701,3402,299,5212,4785,427,8921,8494,427,13047,"Catoosa County, Georgia"
107921,8374,6501,1873,8217,5721,2496,18096,14714,3382,14219,13145,1074,18525,16397,2128,40490,39069,1421,13051,"Chatham County, Georgia"
89974,4196,3335,861,5215,4685,530,8439,7396,1043,9846,9280,566,13473,12941,532,48805,47603,1202,13057,"Cherokee County, Georgia"
49698,6080,4893,1187,6151,4944,1207,8760,6566,2194,7577,7090,487,7423,6846,577,13707,13219,488,13059,"Clarke County, Georgia"
96286,7391,4338,3053,8257,5863,2394,18595,13488,5107,16217,12534,3683,20092,17065,3027,25734,22450,3284,13063,"Clayton County, Georgia"
283094,11354,8927,2427,12115,10247,1868,27465,23216,4249,31959,29081,2878,51549,49759,1790,148652,143897,4755,13067,"Cobb County, Georgia"
47167,1423,883,540,2745,1551,1194,4333,3927,406,4167,3661,506,8575,7187,1388,25924,24481,1443,13073,"Columbia County, Georgia"
52114,1863,1163,700,3862,2082,1780,6360,5053,1307,6216,4832,1384,10373,9214,1159,23440,21902,1538,13077,"Coweta County, Georgia"
287001,15521,11084,4437,21315,14400,6915,38874,29457,9417,36881,31256,5625,49467,45250,4217,124943,120374,4569,13089,"DeKalb County, Georgia"
33717,5139,3190,1949,4147,2888,1259,5314,4067,1247,6749,5033,1716,5994,4877,1117,6374,5717,657,13095,"Dougherty County, Georgia"
49534,2389,1664,725,4290,3131,1159,8344,6397,1947,5625,5022,603,9141,8112,1029,19745,18485,1260,13097,"Douglas County, Georgia"
39366,703,347,356,1915,935,980,3042,2359,683,4135,3246,889,5782,5513,269,23789,23353,436,13113,"Fayette County, Georgia"
34672,3226,1732,1494,4395,1968,2427,9003,6253,2750,3420,2995,425,5990,5368,622,8638,8334,304,13115,"Floyd County, Georgia"
