id,total,i_under_050,i_050_074,i_075_099,i_100_124,i_125_149,i_150_174,i_175_184,i_185_199,i_200_299,i_300_399,i_400_499,i_500_over
20091,156199,2481,1428,1945,2703,2576,3289,841,1952,16718,20940,18835,82491
20103,18837,447,502,1031,361,347,412,601,281,2621,2246,2578,7410
20161,13019,555,228,263,981,463,354,26,602,2002,1411,1428,4706
20173,123752,4802,3153,3547,5386,4979,5100,2768,4243,20477,17622,14774,36901
20177,44345,762,1933,1624,1547,1483,1539,1032,742,7779,7007,5105,13792
20209,38635,1777,778,2489,2829,2600,1786,964,852,7298,6538,3939,6785
21015,34483,538,263,0,1191,889,941,802,253,4597,5178,5137,14694
21029,21720,720,530,635,1253,404,669,573,372,3138,5074,2134,6218
21037,23003,1330,571,603,603,536,751,334,454,2412,4090,2994,8325
21047,18138,771,1095,558,1156,1419,1388,589,771,3254,1847,2175,3115
21059,27174,1098,1572,1049,834,1545,1159,490,442,5581,3531,3434,6439
21067,75825,3048,2212,1630,2041,2380,3839,1586,1464,11101,10926,8011,27587
21093,29677,1527,689,1197,1100,1922,1197,603,1544,5163,3683,2806,8246
21111,186545,10455,4745,6333,6623,6790,5236,3975,4470,27033,27546,19396,63943
21117,40085,892,917,619,1322,1573,1410,477,374,5823,7421,5192,14065
21145,16899,1151,324,716,475,496,453,865,600,2741,2634,2013,4431
21151,22411,1602,450,647,1100,814,1166,203,562,3738,3409,2702,6018
21185,17568,241,637,116,172,197,349,163,174,1690,2162,1977,9690
21227,30497,1069,1452,1617,831,1606,1283,476,312,5422,4777,3406,8246
22005,34957,1942,452,594,437,1552,1213,1088,241,3762,4414,4313,14949
22015,31921,984,1764,1029,1589,1767,731,647,269,5396,3793,2766,11186
22017,57904,2369,3213,3404,4147,2582,3180,879,1802,9420,6532,6996,13380
22019,50083,2260,1184,2288,2320,2617,3214,682,1427,8686,6203,5416,13786
22033,95154,3693,3249,3315,4783,4287,3908,1357,2079,13583,10926,9110,34864
22045,16865,1760,757,786,766,328,778,467,831,2280,2313,1834,3965
22051,105501,5170,2547,4534,5043,5044,4963,2515,2687,16969,14397,10317,31315
22055,59081,2855,1883,1568,2752,2083,3346,694,1141,8778,8884,7543,17554
22057,23348,1206,893,383,790,1347,1165,393,732,3604,3247,2605,6983
22063,35951,705,350,916,1516,1357,1885,369,1650,5962,4784,4060,12397
22071,68103,4351,3451,3418,3640,3925,3641,888,1214,9063,6728,5418,22366
22073,34490,2717,1236,1621,2123,1145,1406,509,1074,4721,3847,3634,10457
22079,32751,2300,794,1529,1297,1350,1681,210,881,5896,4760,3085,8968
22097,20018,3048,1600,1240,686,1106,540,159,497,3817,2850,1446,3029
22103,67922,2513,1528,2386,2716,2592,2177,1102,1811,8647,7770,8155,26525
22105,29605,1495,1008,632,2524,1673,1263,391,465,5273,5286,3357,6238
22109,26511,1359,324,1824,943,1193,574,407,1334,5431,4183,2438,6501
23001,26533,686,603,1385,1246,927,639,838,606,4716,3990,3457,7440
23003,17603,842,685,259,1079,869,1182,405,474,3270,3184,2147,3207
23005,72142,1244,697,682,858,896,2015,1107,1640,9057,9220,9762,34964
23011,31105,1077,711,348,977,1424,1202,767,492,6176,4875,3517,9539
23019,36788,1418,1343,1004,825,1208,1829,518,1055,7038,6468,5132,8950
23031,54432,831,551,1234,948,1213,1511,1124,1093,7559,7672,7500,23196
24001,16619,766,490,687,1156,632,726,438,346,3424,2531,1945,3478
24003,145626,3746,1592,2081,1661,2433,2169,1010,1793,15594,15424,16849,81274
24005,203785,4314,4578,4183,4502,4904,5322,1239,2345,26356,26722,24353,94967
24009,24267,261,203,65,697,0,590,44,78,1585,2879,2880,14985
24013,46205,1151,619,622,648,667,425,217,671,4076,5349,5073,26687
24015,25567,542,310,209,1026,957,399,317,396,3292,3818,3883,10418
24017,41483,1464,743,0,567,951,898,413,819,4558,5381,5732,19957
24021,66920,1249,1007,677,1286,1112,1277,720,639,7869,6100,6966,38018
24025,67774,2140,670,783,1087,1046,1815,989,831,6719,7224,9545,34925
24027,86143,1762,788,589,1205,1184,1843,1082,228,5877,6633,8099,56853
24031,257291,4327,2756,4275,5148,5982,5255,2146,3673,22443,23535,20985,156766
24033,206154,5364,2049,3844,4248,5939,7686,2889,3499,25969,26600,23103,94964
24037,28173,620,363,1017,276,749,654,61,156,2519,2871,3793,15094
24043,37072,1102,465,1261,925,1678,1644,570,815,5706,6483,3386,13037
24045,24972,662,75,917,1222,1171,1423,540,881,4012,4231,2757,7081
24510,117955,8319,4481,3565,5234,4972,5076,2400,3483,16779,15266,10399,37981
25001,54040,947,517,1452,633,1467,1529,391,1203,6828,7378,5800,25895
25003,31618,1220,260,448,730,547,872,491,392,5183,4732,3850,12893
25005,141303,4659,2396,3667,4504,4534,4806,2079,4473,17241,19109,16041,57794
25009,198593,5532,3471,6824,4751,5923,6011,1701,3308,23595,22369,20074,95034
25011,17645,173,270,371,309,636,598,447,116,2938,2832,2300,6655
25013,113359,6143,3460,4867,5278,4120,3544,1906,2666,16730,13743,12359,38543
25015,34059,413,583,449,517,550,510,321,459,3620,3829,4781,18027
25017,385308,7608,4479,5051,6512,6178,8097,4177,3906,30366,37532,40161,231241
25021,174936,3340,1821,2259,2815,1754,2765,900,1873,13947,16255,16777,110430
25023,131226,2063,1242,1014,2762,1905,2124,1395,2574,12154,16500,16340,71153
25025,153541,7059,5415,5659,5915,4742,4974,3084,3510,19997,16444,14381,62361
25027,202026,5218,3176,3004,5767,4287,6631,1673,4036,26823,26293,24428,90690
26005,32703,1310,621,894,1032,1147,1213,254,1383,5829,6055,4279,8686
26017,29075,1168,1634,856,753,855,1646,508,358,5888,4446,4235,6728
26021,42226,1599,1851,1218,1998,2430,1550,699,859,6966,5730,5091,12235
26025,33082,1614,1440,1644,1086,1443,867,663,1016,6023,5976,3319,7991
26037,20746,450,81,428,530,632,357,204,189,3310,3948,3380,7237
26045,29437,826,368,722,509,709,768,435,467,4107,5557,4730,10239
26049,104915,5677,3666,4708,4141,4483,5065,2190,2801,15872,13341,13001,29970
26055,22866,396,372,902,568,771,455,282,366,3138,3845,2550,9221
26065,61958,2390,2041,1501,2719,2095,2141,1270,1238,9454,8154,7085,21870
26073,14589,639,506,610,431,875,639,570,335,2765,2183,2034,3002
26075,39406,1556,1246,992,2061,1612,1947,1364,882,6320,6814,4661,9951
26077,61117,2513,905,1164,1672,1340,2122,772,2155,10212,8244,7094,22924
26081,163120,5010,3462,3908,4933,5382,6186,2156,4500,26752,24279,20853,55699
26087,23556,929,425,536,469,755,409,274,663,3631,3813,3762,7890
26091,25874,714,218,590,1220,862,1365,547,640,5016,4320,3409,6973
26093,54151,630,928,371,510,535,1680,603,883,6528,8057,7499,25927
26099,227394,5715,5225,6769,6632,7927,8501,3982,4106,36467,34786,30133,77151
26103,15842,487,390,383,423,520,605,227,221,2340,3353,2610,4283
26111,22495,1222,948,342,1104,739,636,343,383,3845,3035,2267,7631
26115,42079,1053,753,988,843,1294,1252,834,587,6484,7839,5700,14452
26121,44746,1712,1186,1828,1527,3018,1601,904,1045,8692,7125,5278,10830
